Subject,Sample,Time,rms,rms smooth diff
1,809,8.09,4.6338372990881345,0.37347391250936224
1,3989,39.89,13.233680472192145,1.1791932415309905
1,7004,70.04,4.653898302047481,0.40142696699102665
1,10076,100.76,10.230954716943673,0.8935854857095918
1,13038,130.38,6.362519155348649,0.5394294187569291
1,16371,163.71,11.948783804347318,1.052945690955643
1,19066,190.66,5.111155636196792,0.43770932938200285
1,22053,220.53,15.684313753983965,1.4049604035672583
1,25937,259.37,10.509736114177985,0.928491990651631
1,28066,280.66,5.479199488789328,0.47038903357968564
1,31139,311.39,6.949035995717336,0.611783841396035
1,31885,318.85,11.697403753726942,1.0306126655659926
1,34137,341.37,11.199425854008132,0.989646429151601
1,37108,371.08,10.567710471127475,0.8990884168764486
1,40161,401.65,5.2463607164673745,0.4496989277325235
1,43207,432.11,14.434574495661815,1.2912180542778047
1,46138,461.42,11.199724395237432,0.9897204452322723
1,47771,477.75,4.6098790656986415,0.3971895393595135
1,49203,492.07,5.63616620884237,0.47484504528524174
1,52214,522.18,6.097013035501571,0.5295905177385032
1,55194,551.98,11.643591159783329,1.0209504284216002
1,58231,582.35,12.82832215302331,1.137224335807315
2,749,7.49,10.785401588644563,0.9134679717318185
2,1645,16.45,10.382559200363191,0.9239605637882466
2,4790,47.9,4.862191502347559,0.4269605811827286
2,7777,77.77,4.781492057337786,0.4059896889145891
2,10849,108.49,12.795017267698551,1.1343891643582562
2,13818,138.18,10.501470580434907,0.9257097024765961
2,16827,168.27,4.611560507431689,0.3856956920988568
2,17699,176.99,11.720634518444935,0.9896647209375575
2,19860,198.6,4.72515824271991,0.4014048828939789
2,22799,227.99,10.828275045731784,0.9650497232337925
2,25961,259.61,11.787675098499017,0.9667266179205667
2,28908,289.08,11.176981765135936,0.9967560993324066
2,31877,318.77,10.198342220789245,0.8938570335734907
2,37939,379.39,5.619106744394099,0.4792522927108449
2,40975,409.75,5.089979407583403,0.39246697234669214
2,43951,439.51,4.600088112051723,0.3845696850343015
2,47044,470.44,5.362210280536781,0.44713198494807116
2,49945,499.45,4.680837656401375,0.3840260129865572
2,53009,530.09,10.612995701917916,0.9430975570981992
2,56012,560.12,10.36823793871417,0.9304763622890178
3,934,9.34,10.934923934690508,0.883701667690123
3,4023,40.23,4.691427405221636,0.41604563881445916
3,7038,70.38,5.059571892595129,0.43807692256549224
3,10044,100.44,13.489519669756405,1.2069820656528476
3,13025,130.25,10.700637666859636,0.957493533091986
3,16046,160.46,11.65133838528356,1.0457244163884691
3,18996,189.96,4.9224362522840845,0.42485659090522804
3,20041,200.41,11.816282877394121,1.037724975695021
3,22057,220.57,4.6973061751712155,0.39817418780321745
3,25104,251.04,5.130240069951225,0.4381171826992343
3,28111,281.11,6.4469895798163765,0.5617010236401506
3,31143,311.43,4.649359166234662,0.3877400884278934
3,34069,340.69,4.814905729292696,0.41402431385665656
3,37145,371.45,12.380095040373387,1.1029879749413691
3,40164,401.64,10.233096686639703,0.9083437790003888
3,43181,431.81,5.158451445240665,0.4469249161375184
3,46202,462.02,4.620219196755888,0.3788422957279133
3,49210,492.1,5.112990707768263,0.44856387673309583
3,50624,506.24,5.436852564648287,0.3853146139464123
3,52521,525.21,11.292763796010204,0.901083902439489
3,58250,582.5,10.862483819803161,0.9596175461338289
4,441,4.41,5.312421496455781,0.46065873606423485
4,1494,14.94,5.1186431854897005,0.4511726856485716
4,2302,23.02,11.014875943129462,0.9849746209526862
4,3563,35.63,5.176044105171968,0.4476560473137712
4,8240,82.4,10.715690549391962,0.9576372842513765
4,13308,133.08,5.194255805675687,0.44728810016483944
4,16018,160.18,10.190575286946281,0.906756953714515
4,18625,186.25,5.197966844970487,0.4533916742468429
4,21655,216.55,11.260627459093394,1.0076368877550674
4,30682,306.82,5.411757837808848,0.48253306652105543
4,34846,348.46,4.659310689677443,0.4023025335621871
4,39006,390.06,1.7826770328826362,0.15821849262145954
4,39701,397.01,5.010579320637144,0.4460813313330571
4,40501,405.01,13.130489305901845,1.1743411992944068
4,42763,427.63,11.165598687428442,1.0043747981442124
4,45714,457.14,11.318691424962935,1.0109872912655884
4,48741,487.41,4.578943688363242,0.40395705955221733
4,51784,517.84,11.342621726906216,1.0171910693148567
4,54761,547.61,10.233189843889994,0.9267349865796028
4,57790,577.9,10.267163640376417,0.9186186817348243
4,58527,585.27,4.575279674743935,0.4008525493974471
5,820,8.2,10.816442174207648,0.9718463493446787
5,3960,39.6,12.17273509146049,1.0902441702748384
5,7027,70.27,5.650538509106813,0.48991705278916786
5,9984,99.84,4.981980730171668,0.4151784654793222
5,13009,130.09,4.6975969526994925,0.39595796123823773
5,16050,160.5,10.354511589039399,0.9220284997256842
5,19050,190.5,4.819576213597469,0.4176345948259862
5,22139,221.39,6.938987290623265,0.6108957328602225
5,25088,250.88,10.860784442184732,0.9634866274844776
5,28072,280.72,10.324808245029093,0.9128667250066491
5,31106,311.06,5.782849578643014,0.5156182817458409
5,34107,341.07,12.591337421417354,1.1238780953110628
5,37091,370.91,10.23092636296967,0.903545855928737
5,40136,401.36,10.67190041191624,0.9372348094993563
5,43142,431.42,5.201868381728326,0.41735528990745085
5,46137,461.37,11.896477153010196,1.0409704265293163
5,49217,492.17,5.344497587972117,0.4625432343351399
5,52176,521.76,10.255967664107523,0.9161952981512864
5,55203,552.03,10.24589959904474,0.8969650245763985
5,58168,581.68,10.318816445638577,0.93061857594425
6,370,3.7,6.758501038463312,0.5739171310669275
6,3784,37.84,4.933208210762076,0.40197079908063726
6,6775,67.75,5.520346778174835,0.47724994408993554
